CNTY_NM,REGION
Sterling,A
Coke,A
Upton,A
Reagan,A
Irion,A
Tom Green,A
Concho,A
McCulloch,A
Schleicher,A
Menard,A
Mason,A
Sutton,A
Kimble,A
Crockett,A
Mills,B
San Saba,B
Lampasas,B
Llano,B
Burnet,B
Gillespie,B
Kerr,B
Bandera,B
Kendall,B
Blanco,B
Comal,B
Travis,C
Bexar,D
Hays,E
Bastrop,E
Caldwell,E
Fayette,E
Colorado,E
Medina,F
Frio,F
Atascosa,F
Wilson,F
Guadalupe,F
Karnes,F
Gonzales,G
Lavaca,G
DeWitt,G
Victoria,G
Jackson,G
Goliad,G
Matagorda,G
Calhoun,G
Bee,H
Refugio,H
San Patricio,H
Aransas,H
Nueces,H
McMullen,I
Live Oak,I
Duval,I
Jim Wells,I
Kleberg,I
Brooks,J
Kenedy,J
Starr,J
Hidalgo,J
Willacy,J
Cameron,J
Webb,K
Zapata,K
Jim Hogg,K
Val Verde,L
Edwards,L
Real,L
Kinney,L
Uvalde,L
Maverick,L
Zavala,L
Dimmit,L
La Salle,L
